transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
2660,911,97.88704219531512,POS,Travel,DE,22,0.0738409051584326,0.1536798885004145,0
823,442,94.16180011092118,ATM,Food,TR,11,0.2502030063241643,0.1038010989292601,0
2102,707,80.78373865706138,POS,Clothing,TR,8,0.0763518883849006,0.2619510175996666,0
6699,98,51.41159711300533,QR,Clothing,DE,15,0.1276810505521773,0.0289901705971883,0
6041,254,121.74431701817925,POS,Electronics,TR,9,0.2051957317652295,0.2345839927328419,0
8967,293,114.8006026569072,QR,Clothing,TR,12,0.1232371952623074,0.1120814973542568,0
8358,109,64.58818404176583,ATM,Clothing,UK,11,0.1566428154605467,0.2827200468138228,0
702,404,128.8624186187765,POS,Electronics,TR,22,0.19231481815386,0.0142070290155533,0
2295,423,153.13847997643995,POS,Food,FR,12,0.2213403799666845,0.1119736533749137,0
5700,870,126.1148420808296,QR,Food,US,23,0.2359368583883031,0.0210003287720781,0
3136,149,140.42055884663486,POS,Grocery,UK,7,0.1281204927611062,0.1849045253481365,0
2828,240,139.69732667356274,POS,Grocery,DE,8,0.0750270445380712,0.2950167599685548,0
9038,85,75.72759330099119,ATM,Food,TR,22,0.1270733921538626,0.1027779224776561,0
5650,37,68.30166871849987,ATM,Food,UK,13,0.2607838890742102,0.1439732188573849,0
8305,818,138.61680201471546,ATM,Food,US,7,0.0292835641257646,0.1875632607253795,0
5798,760,149.0535461939357,ATM,Travel,FR,10,0.0213169935972886,0.048742058165546,0
7827,701,168.38302568255813,Online,Electronics,TR,10,0.0390324973568571,0.0959213886190912,0
9661,465,10.0,Online,Grocery,NG,4,0.7833652067091756,0.7445310667510646,1
383,518,148.6952559996614,QR,Grocery,TR,10,0.010698780275738,0.0668646405963987,0
301,939,119.2734887516763,ATM,Grocery,DE,8,0.2466493091230793,0.1493094254347834,0
9482,867,60.01179361060507,QR,Grocery,UK,16,0.0381213779380616,0.2180814744201488,0
5835,172,145.32122937005212,POS,Clothing,DE,19,0.2406430113039707,0.1216124514171701,0
2680,961,65.59314689242052,Online,Food,US,18,0.0624033635648825,0.1345247199362278,0
5304,865,93.89238769526008,POS,Travel,TR,10,0.2047109419811111,0.2369718839715648,0
